Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_fails	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
Sample_IPO3916_B9_R1	91.01283094973817	41.66666666666667	1.8887530732203037	9042251.0	40.0	126.0
Sample_IPO3916_B9_R2	91.02484693283168	41.66666666666667	2.6798412060665897	9042251.0	40.0	126.0
Sample_IPO3916_C10_R1	42.63651120158962	25.0	6.018512483079634	8032363.0	38.0	126.0
Sample_IPO3916_C10_R2	41.905789938733705	33.33333333333333	6.848163969791815	8032363.0	38.0	126.0
Sample_IPO3916_C11_R1	52.216743542242476	33.33333333333333	5.728663228682542	13980064.0	36.0	126.0
Sample_IPO3916_C11_R2	51.99691706556786	33.33333333333333	6.372090069410769	13980064.0	36.0	126.0
Sample_IPO3916_C12_R1	69.53812896639228	33.33333333333333	5.759277158540808	7580630.0	37.0	126.0
Sample_IPO3916_C12_R2	68.82373822596749	41.66666666666667	6.6517561707869115	7580630.0	38.0	126.0
Sample_IPO3916_C1_R1	47.07507335662622	25.0	10.904008684736867	5470060.0	38.0	126.0
Sample_IPO3916_C1_R2	47.10443502635642	33.33333333333333	11.162310166470998	5470060.0	38.0	126.0
Sample_IPO3916_C2_R1	47.73885925373047	25.0	8.755464797946305	13460728.0	39.0	126.0
Sample_IPO3916_C2_R2	46.82100618510421	33.33333333333333	9.678797603276873	13460728.0	38.0	126.0
Sample_IPO3916_C3_R1	51.02217659208193	33.33333333333333	10.578820443350825	7027775.0	38.0	126.0
Sample_IPO3916_C3_R2	50.6904088399661	41.66666666666667	11.117598408988643	7027775.0	38.0	126.0
Sample_IPO3916_C4_R1	90.42813254453667	41.66666666666667	2.7967511102681293	4774433.0	38.0	126.0
Sample_IPO3916_C4_R2	89.78057830218808	50.0	4.619166296814721	4774433.0	39.0	126.0
Sample_IPO3916_C5_R1	47.311205070147246	16.666666666666664	4.378764110345045	5099526.0	39.0	126.0
Sample_IPO3916_C5_R2	46.558480087154976	25.0	5.522667344824934	5099526.0	39.0	126.0
Sample_IPO3916_C6_R1	55.15544192395511	41.66666666666667	5.999669579775455	8740289.0	37.0	126.0
Sample_IPO3916_C6_R2	54.61300273379009	41.66666666666667	6.515955312196489	8740289.0	37.0	126.0
Sample_IPO3916_C7_R1	58.346368945214515	41.66666666666667	7.802349841571964	5466099.0	37.0	126.0
Sample_IPO3916_C7_R2	58.0576737052395	50.0	8.203422703269853	5466099.0	38.0	126.0
Sample_IPO3916_C8_R1	43.360792832224845	25.0	6.2024397093111565	4530705.0	38.0	126.0
Sample_IPO3916_C8_R2	42.511797955646216	33.33333333333333	7.156478485609383	4530705.0	38.0	126.0
Sample_IPO3916_C9_R1	53.041231133736616	33.33333333333333	5.438485102723651	5875332.0	37.0	126.0
Sample_IPO3916_C9_R2	52.924012380479155	41.66666666666667	5.973391450305776	5875332.0	37.0	126.0
Sample_IPO3916_D10_R1	55.64311772062623	25.0	4.7589595093384185	8056010.0	38.0	126.0
Sample_IPO3916_D10_R2	55.73498609461611	25.0	5.345681681051175	8056010.0	38.0	126.0
Sample_IPO3916_D11_R1	48.47288611392192	25.0	7.39980590582762	3366816.0	38.0	126.0
Sample_IPO3916_D11_R2	47.72239911111223	33.33333333333333	8.567531808867242	3366816.0	38.0	126.0
