Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sample_PRO1322_PlateA_F11_R2_val_2	100.0	0.0
Sample_PRO1322_PlateA_F2_R1_val_1	0.3778294025894661	0.4389544402923667
Sample_PRO1322_PlateA_F2_R2_val_2	0.5729577104046525	0.32976347011599294
Sample_PRO1322_PlateA_F3_R1_val_1	0.6041884127476702	0.6373572364596245
Sample_PRO1322_PlateA_F3_R2_val_2	0.6984606125577153	0.5769937111301766
Sample_PRO1322_PlateA_F4_R1_val_1	0.7085308909576007	2.003157700796088
Sample_PRO1322_PlateA_F4_R2_val_2	0.7857123511825101	2.213607511040318
Sample_PRO1322_PlateA_F5_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_F5_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_F6_R1_val_1	0.8445716004670243	4.966569243704209
Sample_PRO1322_PlateA_F6_R2_val_2	0.8452316671878669	5.137894430443574
Sample_PRO1322_PlateA_F7_R1_val_1	0.12237030752148148	0.0
Sample_PRO1322_PlateA_F7_R2_val_2	0.11528902932166529	0.0
Sample_PRO1322_PlateA_F8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_F8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_F9_R1_val_1	0.951978823684862	1.2825434934395585
Sample_PRO1322_PlateA_F9_R2_val_2	0.8968572986436665	1.415190157268023
Sample_PRO1322_PlateA_G11_R1_val_1	0.6873848864345011	25.230383672662622
Sample_PRO1322_PlateA_G11_R2_val_2	0.6461961653866863	29.552634708407485
Sample_PRO1322_PlateA_G1_R1_val_1	0.7479406904562527	0.8603167307532587
Sample_PRO1322_PlateA_G1_R2_val_2	0.735586768145456	0.7065773770807058
Sample_PRO1322_PlateA_G2_R1_val_1	0.40206477309844235	2.754198905329082
Sample_PRO1322_PlateA_G2_R2_val_2	0.4140455879260892	2.8351421366315397
Sample_PRO1322_PlateA_G3_R1_val_1	0.21010474110426902	3.2518885466229848
Sample_PRO1322_PlateA_G3_R2_val_2	0.2150638988352926	3.8220949645292728
Sample_PRO1322_PlateA_G4_R1_val_1	0.5675492461990743	1.5459798829997504
Sample_PRO1322_PlateA_G4_R2_val_2	0.6356747994747848	1.7228553182766557
Sample_PRO1322_PlateA_G6_R1_val_1	0.6877338401174312	0.6777055370916086
Sample_PRO1322_PlateA_G6_R2_val_2	0.7171006098477807	0.6398621582818874
Sample_PRO1322_PlateA_G7_R1_val_1	0.29011031755464556	0.2085336733260581
Sample_PRO1322_PlateA_G7_R2_val_2	0.2722823092132986	0.2344653218225627
Sample_PRO1322_PlateA_G8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_G8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_G9_R1_val_1	0.5101091764066592	0.4434127489987463
Sample_PRO1322_PlateA_G9_R2_val_2	0.4765043714500312	0.4615471195527263
Sample_PRO1322_PlateA_H10_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_H10_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_H1_R1_val_1	2.7888921089435725	8.122177595828836
Sample_PRO1322_PlateA_H1_R2_val_2	2.892939113260341	8.122646761529857
Sample_PRO1322_PlateA_H2_R1_val_1	0.7145964251779154	30.57085410486206
Sample_PRO1322_PlateA_H2_R2_val_2	0.7177091868147638	31.598942557940887
Sample_PRO1322_PlateA_H3_R1_val_1	0.14611881422576106	0.8873721436568367
Sample_PRO1322_PlateA_H3_R2_val_2	0.145477608097989	1.2446001397321471
Sample_PRO1322_PlateA_H4_R1_val_1	0.13825061101389552	0.11387290139177869
Sample_PRO1322_PlateA_H4_R2_val_2	0.16117293498693075	0.0
Sample_PRO1322_PlateA_H5_R1_val_1	1.3461782412927068	8.106611494383838
Sample_PRO1322_PlateA_H5_R2_val_2	1.5164812926065765	9.002521990825608
